inc_list,year,state_s,growth,revenue,ifmid,ifiid,founded,yrs_on_list,partner_lists/0,partner_lists/1
Y,2018,CO,96422.08,109744415,31,4,2011,1,,
Y,2018,IL,81223.43,165781095,17,11,1997,1,,
Y,2018,WI,75660.84,98965631,78,6,2013,2,,
Y,2018,CO,71423.76,168837562,31,4,2010,1,,
Y,2018,IL,60165.51,255047839,17,11,2013,1,,
Y,2018,AZ,52599.92,142723188,46,16,2009,1,,
Y,2018,CO,39816.51,49175942,30,17,2013,1,,
Y,2018,AZ,38962.90,219574136,46,16,2013,1,,
Y,2018,WI,26618.64,28004900,171,25,2007,1,,
Y,2018,CA,21480.15,146084812,4,6,2008,1,,
Y,2018,CA,20611.47,32674454,11,10,2005,1,,
Y,2018,IN,20009.56,53345791,81,3,1997,1,,
Y,2018,GA,20005.24,21874500,29,6,2011,1,,
Y,2018,WI,19717.51,43084462,171,25,2014,1,,
Y,2018,VA,19541.94,116810064,3,7,2011,1,,
Y,2018,UT,18421.06,19661753,48,17,2013,1,,
Y,2018,FL,17732.50,25639563,1,5,2000,1,,
Y,2018,IL,16426.66,16893384,17,10,2013,1,,
Y,2018,CA,15911.22,224745864,4,6,2013,1,,
Y,2018,CA,15267.76,50268390,11,10,2007,2,,
Y,2018,IN,14821.90,82070447,81,3,2012,3,,
Y,2018,NY,14747.59,25711999,9,18,2003,1,,
Y,2018,VA,14475.51,179707790,3,7,2010,2,,
Y,2018,FL,14259.18,19762070,575,7,1991,1,,
Y,2018,CA,14240.84,14525878,4,4,2007,1,,
Y,2018,CA,14032.48,18781497,4,13,2013,1,,
Y,2018,UT,13645.23,30248850,48,17,2013,1,,
Y,2018,CA,13429.21,15025290,2,18,1997,1,,
Y,2018,FL,13135.18,39445482,1,5,2008,1,,
Y,2018,VA,12835.82,15924218,3,7,1991,1,,
Y,2018,FL,12500.72,16723552,576,9,2013,1,,
Y,2018,NY,12358.17,31112151,9,18,1998,1,,
Y,2018,NV,12357.61,19671198,1004,5,1993,1,,
Y,2018,NY,11711.67,31771006,9,10,2011,1,,
Y,2018,FL,11359.31,14055761,7,3,2014,1,,
Y,2018,NY,10924.14,39556922,9,18,2014,1,,
Y,2018,FL,10562.36,30403184,575,7,2011,2,,
Y,2018,CA,10548.77,22347505,4,4,2012,1,,
Y,2018,NY,10171.27,12306450,9,9,2008,1,,
Y,2018,CA,10134.98,18741450,4,9,2013,1,,
Y,2018,MA,10056.57,12328556,6,21,2014,1,,
Y,2018,CA,10013.24,31061257,11,3,1992,1,,
Y,2018,FL,9966.15,40305805,64,20,1994,1,,
Y,2018,CA,9947.57,23115831,2,18,2013,1,,
Y,2018,VA,9508.01,24498797,3,7,2012,2,,
Y,2018,CA,9498.19,29593640,4,4,2013,1,,
Y,2018,CA,9199.58,16890172,2,11,2014,1,,
Y,2018,NY,9154.20,47864847,9,18,2014,1,,
Y,2018,NV,9153.78,30263382,1004,5,2013,1,,
Y,2018,NV,8875.11,23815041,1004,13,1990,1,,
Y,2018,UT,8797.71,11693542,204,5,2014,1,,
Y,2018,NY,8675.31,48878470,9,10,2008,1,,
Y,2018,CA,8672.23,12160158,2,5,1993,1,,
Y,2018,OR,8047.27,25289547,10,4,1998,1,,
Y,2018,IL,7772.99,18009594,17,6,2009,1,,
Y,2018,CA,7676.49,17710916,2,12,1994,1,,
Y,2018,FL,7636.36,10570957,1,6,2014,1,X,
Y,2018,NY,7534.27,18933000,9,9,2012,1,,
Y,2018,DC,7525.25,9331318,3,7,2008,2,,
Y,2018,CA,7507.39,28833000,4,9,2013,1,,
Y,2018,CA,7417.21,47786549,11,3,2012,3,,
Y,2018,FL,7382.33,62008931,64,20,2014,1,,
Y,2018,CO,7375.42,12809590,30,10,1994,1,,
Y,2018,DC,7340.40,14732000,3,2,2010,1,,
Y,2018,PA,7338.50,295313991,52,10,2012,1,,
Y,2018,CA,7320.50,20849969,4,10,2012,1,,
Y,2018,MD,7310.03,7982302,3,10,2013,1,,
Y,2018,CA,7035.70,45528677,4,4,2012,1,,
Y,2018,MD,6952.67,11426947,3,21,2013,1,,
Y,2018,OH,6754.29,8776237,47,18,2013,1,,
